年,月,日,时,分,实际功率
2013,9,4,14,45,5.9033
2013,9,4,15,0,6.3566
2013,9,4,15,15,7.2558
2013,9,4,15,30,5.72135
2013,9,4,15,45,7.42655
2013,9,4,16,0,5.9665
2013,9,4,16,15,6.34975
2013,9,4,16,30,4.13989
2013,9,4,16,45,4.76222
2013,9,4,17,0,5.3151
2013,9,4,17,15,2.561185
2013,9,4,17,30,4.54431
2013,9,4,17,45,3.43033
2013,9,4,18,0,3.131335
2013,9,4,18,15,1.71515
2013,9,4,18,30,1.864745
2013,9,4,18,45,1.39321
2013,9,4,19,0,0.63595
2013,9,4,19,15,0.3651405
2013,9,4,19,30,0.2792135
2013,9,4,19,45,0.162993
2013,9,4,20,0,-0.00396635
2013,9,4,20,15,-0.01083345
2013,9,4,20,30,-0.01497745
2013,9,4,20,45,-0.01330495
2013,9,4,21,0,-0.01326065
2013,9,4,21,15,-0.0149182
2013,9,4,21,30,-0.01379345
2013,9,4,21,45,-0.01443605
2013,9,4,22,0,-0.01485905
2013,9,4,22,15,-0.01249105
2013,9,4,22,30,-0.0122334
2013,9,4,22,45,-0.01272785
2013,9,4,23,0,-0.01337905
2013,9,4,23,15,-0.01071505
2013,9,4,23,30,-0.0102094
2013,9,4,23,45,-0.0085247
2013,9,5,0,0,-0.0100047
2013,9,5,0,15,-0.0091167
2013,9,5,0,30,-0.0072924
2013,9,5,0,45,-0.0088799
2013,9,5,1,0,-0.0085839
2013,9,5,1,15,-0.00794725
2013,9,5,1,30,-0.0076367
2013,9,5,1,45,-0.0073999
2013,9,5,2,0,-0.0072815
2013,9,5,2,15,-0.00812585
2013,9,5,2,30,-0.0066303
2013,9,5,2,45,-0.0071631
2013,9,5,3,0,-0.0075901
2013,9,5,3,15,-0.0069263
2013,9,5,3,30,-0.0072223
2013,9,5,3,45,-0.0076367
2013,9,5,4,0,-0.00675665
2013,9,5,4,15,-0.0068079
2013,9,5,4,30,-0.0068079
2013,9,5,4,45,-0.0066895
2013,9,5,5,0,-0.0066971
2013,9,5,5,15,-0.0062751
2013,9,5,5,30,-0.0066895
2013,9,5,5,45,-0.00633995
2013,9,5,6,0,-0.0062751
2013,9,5,6,15,-0.0064527
2013,9,5,6,30,-0.00597915
2013,9,5,6,45,-0.006459
2013,9,5,7,0,-0.0072223
2013,9,5,7,15,-0.0094127
2013,9,5,7,30,-0.00836395
2013,9,5,7,45,0.004558345
2013,9,5,8,0,0.144002
2013,9,5,8,15,0.310855
2013,9,5,8,30,0.4593925
2013,9,5,8,45,0.2230925
2013,9,5,9,0,0.241651
2013,9,5,9,15,0.318515
2013,9,5,9,30,0.4689465
2013,9,5,9,45,0.774915
2013,9,5,10,0,1.226195
2013,9,5,10,15,1.29927
2013,9,5,10,30,1.63313
2013,9,5,10,45,1.33145
2013,9,5,11,0,0.82364
2013,9,5,11,15,0.84497
2013,9,5,11,30,0.502185
2013,9,5,11,45,0.582345
2013,9,5,12,0,0.643695
2013,9,5,12,15,0.64373
2013,9,5,12,30,0.697485
2013,9,5,12,45,0.719065
2013,9,5,13,0,0.907625
2013,9,5,13,15,1.41729
2013,9,5,13,30,1.706005
2013,9,5,13,45,1.405595
2013,9,5,14,0,1.114965
2013,9,5,14,15,1.219265
2013,9,5,14,30,1.24348
2013,9,5,14,45,1.13845
2013,9,5,15,0,1.104955
2013,9,5,15,15,1.93241
2013,9,5,15,30,2.359445
2013,9,5,15,45,1.675085
2013,9,5,16,0,1.586095
2013,9,5,16,15,1.0684
2013,9,5,16,30,1.11336
2013,9,5,16,45,0.79907
2013,9,5,17,0,0.971225
2013,9,5,17,15,1.041845
2013,9,5,17,30,0.711295
2013,9,5,17,45,0.3711795
2013,9,5,18,0,0.465247
2013,9,5,18,15,0.4790695
2013,9,5,18,30,0.1495095
2013,9,5,19,0,0.1451565
2013,9,5,19,15,0.1471285
2013,9,5,19,30,0.27131
2013,9,5,19,45,0.219866
2013,9,5,20,0,0.221346
2013,9,5,20,15,0.0749185
2013,9,5,20,30,-0.0077255
2013,9,5,20,45,-0.01166225
2013,9,5,21,0,-0.01193575
2013,9,5,21,15,-0.01124785
2013,9,5,21,30,-0.01142545
2013,9,5,21,45,-0.01124785
2013,9,5,22,0,-0.0123525
2013,9,5,22,15,-0.0069855
2013,9,5,22,30,-0.0060975
2013,9,5,22,45,-0.00651855
2013,9,5,23,0,-0.0069855
2013,9,5,23,15,-0.0083471
2013,9,5,23,30,-0.0068671
2013,9,5,23,45,-0.00610185
2013,9,6,0,0,-0.00609755
2013,9,6,0,15,-0.0062159
2013,9,6,0,30,-0.0062159
2013,9,6,0,45,-0.0063995
